proof	cbmc_time_s	wall_s	status
proof_v16_retire_empty_asset_is_value_neutral_and_epoch_scoped	306.6586	311	PASS
proof_v16_retire_nonempty_asset_rejects	159.30867	163	PASS
proof_v16_retired_slot_reactivation_accepts_only_empty_source_credit_amounts	33.308292	37	PASS
proof_v16_reused_asset_slot_rejects_stale_market_id_leg	205.42213	210	PASS
proof_v16_risk_notional_ceil_unaligned_ceil_is_correct	43.398186	46	PASS
proof_v16_scaled_adl_delta_fast_matches_aligned_reference_and_fails_closed	6.2248454	8	PASS
proof_v16_signed_trade_request_maps_to_opposite_account_deltas	0.29399377	3	PASS
proof_v16_source_credit_lien_face_and_backing_use_scaled_units	218.43259	221	PASS
proof_v16_source_credit_rate_never_exceeds_available_backing_ratio	62.28832	66	PASS
proof_v16_source_domain_insert_reuses_same_domain_market_id_tag	26.630867	30	PASS
proof_v16_sparse_source_domain_cap_full_rejects_new_domain	21.94227	26	PASS
proof_v16_sparse_source_domain_insert_roundtrips_occupied_domain	35.000618	39	PASS
proof_v16_sparse_source_domain_validation_accepts_domain_indexed_claim	88.10181	92	PASS
proof_v16_sparse_source_domain_validation_rejects_duplicate_occupied_domain	323.48904	327	PASS
proof_v16_sparse_source_domain_validation_rejects_unoccupied_tagged_slot	18.75079	23	PASS
proof_v16_support_to_account_capital_requires_exact_mixed_source_sum	2.759332	6	PASS
proof_v16_symbolic_conservative_fee_profile_satisfies_mm_envelope_on_small_notionals	16.406864	19	PASS
proof_v16_symbolic_funding_profile_satisfies_mm_envelope_on_small_notionals	14.989654	18	PASS
proof_v16_target_effective_lag_adverse_delta_is_side_specific	0.12881997	2	PASS
proof_v16_target_effective_lag_penalty_enters_all_health_lanes	0.6429276	4	PASS
proof_v16_trade_fee_helper_does_not_charge_negative_pnl_account	51.085915	55	PASS
proof_v16_trade_fee_helper_moves_capital_to_insurance_only	44.654144	49	PASS
proof_v16_trade_preflight_risk_gate_blocks_only_unsafe_risk_increase	0.7998534	3	PASS
proof_v16_two_resolved_receipts_are_order_independent_when_snapshot_funded	228.35599	231	PASS
proof_v16_underbacked_source_credit_cannot_satisfy_im_lien_requirements	55.73509	59	PASS
proof_v16_unliened_source_support_is_capped_by_realizable_backing	204.9959	209	PASS
proof_v16_validate_shape_rejects_global_junior_bound_below_domain_claims	37.744377	42	PASS
proof_v16_view_deposit_preserves_c_tot_vault_capital_sum	307.87216	313	PASS
proof_v16_view_domain_budget_caps_bankruptcy_insurance_spend	149.67653	155	PASS
proof_v16_view_fee_sync_settles_negative_pnl_before_fee	255.20802	263	PASS
proof_v16_view_initial_margin_source_lien_creation_is_backed	0.9241181	4	PASS
proof_v16_view_negative_funding_pays_long_side	72.24681	76	PASS
proof_v16_view_overwithdraw_rejects	284.65875	290	PASS
proof_v16_view_positive_funding_charges_long_side	87.2145	91	PASS
proof_v16_view_trade_position_delta_preserves_oi_symmetry	0.938741	4	PASS
proof_v16_view_withdraw_reduces_vault_ctot_and_capital_equally	340.3353	346	PASS
proof_v16_wide_signed_mul_div_floor_matches_small_reference	51.18498	54	PASS
proof_v16_withdraw_allowed_after_canceled_close	315.41275	321	PASS
proof_v16_withdraw_settles_flat_negative_pnl_before_value_exit	398.78824	404	PASS
proof_v16_wrapper_shape_distinct_asset_batch_projection_preserves_oi_and_outcome	2.2654688	5	PASS
proof_v16_adjust_u128_applies_exact_delta_or_fails_closed	1.0158216	3	PASS
